Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest E commerce,Firefox 55.0,,2017-08-26 17:32:48,2017-08-26 17:34:16,1m - 27.353s,FAILED
,,,,,,
Test Cases/google,Firefox 55.0,,2017-08-26 17:32:50,2017-08-26 17:33:45,55.430s,FAILED
openBrowser,Firefox 55.0,,2017-08-26 17:32:52,2017-08-26 17:33:07,15.745s,PASSED
navigateToUrl,Firefox 55.0,,2017-08-26 17:33:07,2017-08-26 17:33:11,3.383s,PASSED
maximizeWindow,Firefox 55.0,,2017-08-26 17:33:11,2017-08-26 17:33:11,0.480s,PASSED
click,Firefox 55.0,,2017-08-26 17:33:11,2017-08-26 17:33:45,34.144s,FAILED
,,,,,,
Test Cases/launch,Firefox 55.0,launch paytm,2017-08-26 17:33:45,2017-08-26 17:34:16,30.149s,PASSED
openBrowser,Firefox 55.0,,2017-08-26 17:33:46,2017-08-26 17:33:54,8.300s,PASSED
maximizeWindow,Firefox 55.0,,2017-08-26 17:33:54,2017-08-26 17:33:54,0.377s,PASSED
navigateToUrl,Firefox 55.0,,2017-08-26 17:33:54,2017-08-26 17:33:58,3.684s,PASSED
setText,Firefox 55.0,,2017-08-26 17:33:58,2017-08-26 17:34:04,5.766s,PASSED
click,Firefox 55.0,,2017-08-26 17:34:04,2017-08-26 17:34:08,3.863s,PASSED
click,Firefox 55.0,,2017-08-26 17:34:08,2017-08-26 17:34:08,0.627s,PASSED
verifyTextPresent,Firefox 55.0,,2017-08-26 17:34:08,2017-08-26 17:34:15,6.440s,PASSED
closeBrowser,Firefox 55.0,,2017-08-26 17:34:15,2017-08-26 17:34:16,0.754s,PASSED
