Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest Mphasis,JBrowser (headless),,2017-08-26 17:32:47,2017-08-26 17:34:02,1m - 14.892s,FAILED
,,,,,,
Test Cases/mphasis,JBrowser (headless),mphasis.com,2017-08-26 17:32:48,2017-08-26 17:33:41,53.066s,FAILED
openBrowser,JBrowser (headless),,2017-08-26 17:32:50,2017-08-26 17:32:57,7.324s,PASSED
maximizeWindow,JBrowser (headless),,2017-08-26 17:32:57,2017-08-26 17:32:57,0.150s,PASSED
navigateToUrl,JBrowser (headless),,2017-08-26 17:32:57,2017-08-26 17:33:08,10.571s,PASSED
mouseOver,JBrowser (headless),,2017-08-26 17:33:08,2017-08-26 17:33:08,0.390s,PASSED
click,JBrowser (headless),,2017-08-26 17:33:08,2017-08-26 17:33:41,32.619s,FAILED
,,,,,,
Test Cases/mphasis_fail,JBrowser (headless),fail test case,2017-08-26 17:33:41,2017-08-26 17:34:00,18.724s,FAILED
openBrowser,JBrowser (headless),,2017-08-26 17:33:41,2017-08-26 17:33:47,5.593s,PASSED
navigateToUrl,JBrowser (headless),,2017-08-26 17:33:47,2017-08-26 17:33:59,11.659s,PASSED
click,JBrowser (headless),,2017-08-26 17:33:59,2017-08-26 17:34:00,1.130s,FAILED
