Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest Mphasis,Chrome 60.0.3112.101,,2017-08-26 17:25:59,2017-08-26 17:26:37,37.623s,FAILED
,,,,,,
Test Cases/mphasis,Chrome 60.0.3112.101,mphasis.com,2017-08-26 17:26:00,2017-08-26 17:26:22,22.291s,PASSED
openBrowser,Chrome 60.0.3112.101,,2017-08-26 17:26:00,2017-08-26 17:26:05,4.077s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-26 17:26:05,2017-08-26 17:26:06,1.541s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-26 17:26:06,2017-08-26 17:26:16,9.475s,PASSED
mouseOver,Chrome 60.0.3112.101,,2017-08-26 17:26:16,2017-08-26 17:26:16,0.206s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:26:16,2017-08-26 17:26:18,2.489s,PASSED
closeBrowser,Chrome 60.0.3112.101,,2017-08-26 17:26:18,2017-08-26 17:26:22,3.664s,PASSED
,,,,,,
Test Cases/mphasis_fail,Chrome 60.0.3112.101,fail test case,2017-08-26 17:26:22,2017-08-26 17:26:35,13.418s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-26 17:26:22,2017-08-26 17:26:25,2.779s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-26 17:26:25,2017-08-26 17:26:34,8.962s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:26:34,2017-08-26 17:26:35,1.273s,FAILED
