Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest demo app,Chrome 60.0.3112.101,,2017-08-26 17:32:45,2017-08-26 17:33:22,36.357s,PASSED
,,,,,,
Test Cases/katalon,Chrome 60.0.3112.101,katalon explore,2017-08-26 17:32:46,2017-08-26 17:33:22,35.551s,PASSED
openBrowser,Chrome 60.0.3112.101,,2017-08-26 17:32:48,2017-08-26 17:33:00,12.334s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-26 17:33:00,2017-08-26 17:33:02,1.511s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-26 17:33:02,2017-08-26 17:33:08,6.666s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:08,2017-08-26 17:33:09,0.527s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:09,2017-08-26 17:33:10,1.152s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:10,2017-08-26 17:33:12,2.200s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:12,2017-08-26 17:33:13,0.697s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:13,2017-08-26 17:33:14,0.852s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:14,2017-08-26 17:33:14,0.328s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-26 17:33:14,2017-08-26 17:33:15,0.872s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:15,2017-08-26 17:33:17,1.704s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:17,2017-08-26 17:33:17,0.437s,PASSED
rightClick,Chrome 60.0.3112.101,,2017-08-26 17:33:17,2017-08-26 17:33:18,0.330s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:18,2017-08-26 17:33:18,0.155s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:18,2017-08-26 17:33:19,0.819s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:19,2017-08-26 17:33:19,0.404s,PASSED
click,Chrome 60.0.3112.101,,2017-08-26 17:33:19,2017-08-26 17:33:20,0.983s,PASSED
closeBrowser,Chrome 60.0.3112.101,,2017-08-26 17:33:20,2017-08-26 17:33:22,1.739s,PASSED
