Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Datafile,Chrome 60.0.3112.101,from other\r\n files,2017-08-29 15:52:59,2017-08-29 15:54:17,1m - 17.746s,FAILED
,,,,,,
Test Cases/launch - Iteration 1,Chrome 60.0.3112.101,launch paytm,2017-08-29 15:53:00,2017-08-29 15:54:05,1m - 5.552s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 15:53:00,2017-08-29 15:54:05,1m - 4.816s,FAILED
,,,,,,
Test Cases/launch - Iteration 2,Chrome 60.0.3112.101,launch paytm,2017-08-29 15:54:05,2017-08-29 15:54:16,10.444s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 15:54:05,2017-08-29 15:54:09,3.992s,PASSED
"Statement - Mob = com.kms.katalon.core.testdata.TestDataFactory.findTestData(test).getValue(""Mobile"", 2)",Chrome 60.0.3112.101,,2017-08-29 15:54:09,2017-08-29 15:54:10,0.987s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-29 15:54:10,2017-08-29 15:54:12,1.469s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-29 15:54:12,2017-08-29 15:54:14,2.398s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-29 15:54:14,2017-08-29 15:54:16,1.575s,FAILED
