Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest demo app,Chrome 60.0.3112.113,,2017-08-31 12:48:30,2017-08-31 12:54:24,5m - 53.468s,FAILED
,,,,,,
Test Cases/katalon,Chrome 60.0.3112.113,katalon explore,2017-08-31 12:48:31,2017-08-31 12:54:21,5m - 50.388s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-08-31 12:48:33,2017-08-31 12:49:15,41.932s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-08-31 12:49:15,2017-08-31 12:49:17,1.903s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-08-31 12:49:17,2017-08-31 12:54:21,5m - 4.097s,FAILED
