Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Datafile,Chrome 60.0.3112.101,from other\r\n files,2017-08-29 16:11:51,2017-08-29 16:14:28,2m - 37.771s,FAILED
,,,,,,
Test Cases/launch - Iteration 1,Chrome 60.0.3112.101,launch paytm,2017-08-29 16:11:51,2017-08-29 16:14:16,2m - 25.488s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 16:11:52,2017-08-29 16:11:57,5.028s,PASSED
"Statement - Mob = com.kms.katalon.core.testdata.TestDataFactory.findTestData(test).getValue(""Mobile"", 2)",Chrome 60.0.3112.101,,2017-08-29 16:11:57,2017-08-29 16:11:58,0.918s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-29 16:11:58,2017-08-29 16:11:59,1.497s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-29 16:11:59,2017-08-29 16:14:14,2m - 14.497s,PASSED
waitForPageLoad,Chrome 60.0.3112.101,,2017-08-29 16:14:14,2017-08-29 16:14:14,0.553s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-29 16:14:14,2017-08-29 16:14:15,0.487s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 16:14:15,2017-08-29 16:14:15,0.603s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 16:14:15,2017-08-29 16:14:15,0.163s,PASSED
verifyTextPresent,Chrome 60.0.3112.101,,2017-08-29 16:14:15,2017-08-29 16:14:16,1.002s,FAILED
,,,,,,
Test Cases/launch - Iteration 2,Chrome 60.0.3112.101,launch paytm,2017-08-29 16:14:16,2017-08-29 16:14:27,10.632s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 16:14:16,2017-08-29 16:14:21,4.975s,PASSED
"Statement - Mob = com.kms.katalon.core.testdata.TestDataFactory.findTestData(test).getValue(""Mobile"", 2)",Chrome 60.0.3112.101,,2017-08-29 16:14:21,2017-08-29 16:14:22,0.052s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-29 16:14:22,2017-08-29 16:14:23,1.473s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-29 16:14:23,2017-08-29 16:14:25,2.516s,PASSED
waitForPageLoad,Chrome 60.0.3112.101,,2017-08-29 16:14:25,2017-08-29 16:14:26,0.032s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-29 16:14:26,2017-08-29 16:14:27,1.470s,FAILED
